# FFCharge Data File
#
# Format: scheme,position,residue,atom,charge
#
# Position: n (n-terminal), n- (n-terminal deprotonated), c (c-terminal), c+ (c-terminal protonated), 5 (5'), 3 (3'), m (middle), (empty for none - water/ion)
#
# Scheme Keys:
#   Protein: amber-ffsb, amber-ff03, charmm
#   DNA:     amber, charmm
#   RNA:     amber, charmm
#   Water:   tip3p, tip3p-fb, spc, spc-e, opc3
#   Ion:     classic

scheme,position,residue,atom,charge

# Protein: amber-ffsb

# ALA - middle
amber-ffsb,c,ARG,HE,0.3479000
amber-ffsb,c,ARG,CZ,0.8368000
amber-ffsb,c,ARG,NH1,-0.8737000
amber-ffsb,c,ARG,HH11,0.4493000
amber-ffsb,c,ARG,HH12,0.4493000
amber-ffsb,c,ARG,NH2,-0.8737000
amber-ffsb,c,ARG,HH21,0.4493000
amber-ffsb,c,ARG,HH22,0.4493000
amber-ffsb,c,ARG,C,0.8557000
amber-ffsb,c,ARG,O,-0.8266000
amber-ffsb,c,ARG,OXT,-0.8266000

# ARG - n-terminal deprotonated
amber-ffsb,n-,ARG,N,-0.6612000
amber-ffsb,n-,ARG,H1,0.2083000
amber-ffsb,n-,ARG,H2,0.2083000
amber-ffsb,n-,ARG,CA,-0.0223000
amber-ffsb,n-,ARG,HA,0.1242000
amber-ffsb,n-,ARG,CB,0.0118000
amber-ffsb,n-,ARG,HB2,0.0226000
amber-ffsb,n-,ARG,HB3,0.0226000
amber-ffsb,n-,ARG,CG,0.0236000
amber-ffsb,n-,ARG,HG2,0.0309000
amber-ffsb,n-,ARG,HG3,0.0309000
amber-ffsb,n-,ARG,CD,0.0935000
amber-ffsb,n-,ARG,HD2,0.0527000
amber-ffsb,n-,ARG,HD3,0.0527000
amber-ffsb,n-,ARG,NE,-0.5650000
amber-ffsb,n-,ARG,HE,0.3592000
amber-ffsb,n-,ARG,CZ,0.8281000
amber-ffsb,n-,ARG,NH1,-0.8693000
amber-ffsb,n-,ARG,HH11,0.4494000
amber-ffsb,n-,ARG,HH12,0.4494000
amber-ffsb,n-,ARG,NH2,-0.8693000
amber-ffsb,n-,ARG,HH21,0.4494000
amber-ffsb,n-,ARG,HH22,0.4494000
amber-ffsb,n-,ARG,C,0.7214000
amber-ffsb,n-,ARG,O,-0.6013000

# ARG - c-terminal protonated
amber-ffsb,c+,ARG,N,-0.3481000
amber-ffsb,c+,ARG,H,0.2764000
amber-ffsb,c+,ARG,CA,-0.3068000
amber-ffsb,c+,ARG,HA,0.1447000
amber-ffsb,c+,ARG,CB,-0.0374000
amber-ffsb,c+,ARG,HB2,0.0371000
amber-ffsb,c+,ARG,HB3,0.0371000
amber-ffsb,c+,ARG,CG,0.0744000
amber-ffsb,c+,ARG,HG2,0.0185000
amber-ffsb,c+,ARG,HG3,0.0185000
amber-ffsb,c+,ARG,CD,0.1114000
amber-ffsb,c+,ARG,HD2,0.0468000
amber-ffsb,c+,ARG,HD3,0.0468000
amber-ffsb,c+,ARG,NE,-0.5564000
amber-ffsb,c+,ARG,HE,0.3479000
amber-ffsb,c+,ARG,CZ,0.8368000
amber-ffsb,c+,ARG,NH1,-0.8737000
amber-ffsb,c+,ARG,HH11,0.4493000
amber-ffsb,c+,ARG,HH12,0.4493000
amber-ffsb,c+,ARG,NH2,-0.8737000
amber-ffsb,c+,ARG,HH21,0.4493000
amber-ffsb,c+,ARG,HH22,0.4493000
amber-ffsb,c+,ARG,C,0.8557000
amber-ffsb,c+,ARG,O,-0.5591000
amber-ffsb,c+,ARG,OXT,-0.5591000
amber-ffsb,c+,ARG,HOXT,0.4650000

# ARN - middle
amber-ffsb,m,ARN,N,-0.4157000
amber-ffsb,m,ARN,H,0.2719000
amber-ffsb,m,ARN,CA,0.0044000
amber-ffsb,m,ARN,HA,0.1100000
amber-ffsb,m,ARN,CB,-0.0500000
amber-ffsb,m,ARN,HB2,0.0400000
amber-ffsb,m,ARN,HB3,0.0400000
amber-ffsb,m,ARN,CG,0.0500000
amber-ffsb,m,ARN,HG2,0.0400000
amber-ffsb,m,ARN,HG3,0.0400000
amber-ffsb,m,ARN,CD,0.1000000
amber-ffsb,m,ARN,HD2,0.0500000
amber-ffsb,m,ARN,HD3,0.0500000
amber-ffsb,m,ARN,NE,-0.5500000
amber-ffsb,m,ARN,HE,0.3400000
amber-ffsb,m,ARN,CZ,0.5500000
amber-ffsb,m,ARN,NH1,-0.8000000
amber-ffsb,m,ARN,HH11,0.3800000
amber-ffsb,m,ARN,HH12,0.3800000
amber-ffsb,m,ARN,NH2,-0.7000000
amber-ffsb,m,ARN,HH21,0.3700000
amber-ffsb,m,ARN,C,0.5973000
amber-ffsb,m,ARN,O,-0.5679000

# ARN - n-terminal
amber-ffsb,n,ARN,N,0.1414000
amber-ffsb,n,ARN,H1,0.1997000
amber-ffsb,n,ARN,H2,0.1997000
amber-ffsb,n,ARN,H3,0.1997000
amber-ffsb,n,ARN,CA,0.1054000
amber-ffsb,n,ARN,HA,0.1100000
amber-ffsb,n,ARN,CB,-0.0500000
amber-ffsb,n,ARN,HB2,0.0400000
amber-ffsb,n,ARN,HB3,0.0400000
amber-ffsb,n,ARN,CG,0.0500000
amber-ffsb,n,ARN,HG2,0.0400000
amber-ffsb,n,ARN,HG3,0.0400000
amber-ffsb,n,ARN,CD,0.1000000
amber-ffsb,n,ARN,HD2,0.0500000
amber-ffsb,n,ARN,HD3,0.0500000
amber-ffsb,n,ARN,NE,-0.5500000
amber-ffsb,n,ARN,HE,0.3400000
amber-ffsb,n,ARN,CZ,0.5500000
amber-ffsb,n,ARN,NH1,-0.8000000
amber-ffsb,n,ARN,HH11,0.3800000
amber-ffsb,n,ARN,HH12,0.3800000
amber-ffsb,n,ARN,NH2,-0.7000000
amber-ffsb,n,ARN,HH21,0.3700000
amber-ffsb,n,ARN,C,0.6163000
amber-ffsb,n,ARN,O,-0.5722000

# ARN - c-terminal
amber-ffsb,c,ARN,N,-0.3821000
amber-ffsb,c,ARN,H,0.2681000
amber-ffsb,c,ARN,CA,-0.1581000
amber-ffsb,c,ARN,HA,0.1100000
amber-ffsb,c,ARN,CB,-0.0500000
amber-ffsb,c,ARN,HB2,0.0400000
amber-ffsb,c,ARN,HB3,0.0400000
amber-ffsb,c,ARN,CG,0.0500000
amber-ffsb,c,ARN,HG2,0.0400000
amber-ffsb,c,ARN,HG3,0.0400000
amber-ffsb,c,ARN,CD,0.1000000
amber-ffsb,c,ARN,HD2,0.0500000
amber-ffsb,c,ARN,HD3,0.0500000
amber-ffsb,c,ARN,NE,-0.5500000
amber-ffsb,c,ARN,HE,0.3400000
amber-ffsb,c,ARN,CZ,0.5500000
