# FFCharge Data File
#
# Format: scheme,position,residue,atom,charge
#
# Position: n (n-terminal), n- (n-terminal deprotonated), c (c-terminal), c+ (c-terminal protonated), 5 (5'), 3 (3'), m (middle), (empty for none - water/ion)
#
# Scheme Keys:
#   Protein: amber-ffsb, amber-ff03, charmm
#   DNA:     amber, charmm
#   RNA:     amber, charmm
#   Water:   tip3p, tip3p-fb, spc, spc-e, opc3
#   Ion:     classic

scheme,position,residue,atom,charge

# Protein: amber-ffsb

# ALA - middle
amber-ffsb,c+,TYR,CD1,-0.1922000
amber-ffsb,c+,TYR,HD1,0.1780000
amber-ffsb,c+,TYR,CE1,-0.2458000
amber-ffsb,c+,TYR,HE1,0.1673000
amber-ffsb,c+,TYR,CD2,-0.1922000
amber-ffsb,c+,TYR,HD2,0.1780000
amber-ffsb,c+,TYR,CE2,-0.2458000
amber-ffsb,c+,TYR,HE2,0.1673000
amber-ffsb,c+,TYR,CZ,0.3395000
amber-ffsb,c+,TYR,OH,-0.5643000
amber-ffsb,c+,TYR,HH,0.4017000
amber-ffsb,c+,TYR,C,0.8817000
amber-ffsb,c+,TYR,O,-0.7070000
amber-ffsb,c+,TYR,OXT,-0.4720000
amber-ffsb,c+,TYR,HOXT,0.4650000

# TYM - middle
amber-ffsb,m,TYM,N,-0.4157000
amber-ffsb,m,TYM,H,0.2719000
amber-ffsb,m,TYM,CA,-0.0014000
amber-ffsb,m,TYM,HA,0.0876000
amber-ffsb,m,TYM,CB,-0.0152000
amber-ffsb,m,TYM,HB2,0.0295000
amber-ffsb,m,TYM,HB3,0.0295000
amber-ffsb,m,TYM,CG,-0.0511000
amber-ffsb,m,TYM,CD1,-0.2160000
amber-ffsb,m,TYM,HD1,0.1699000
amber-ffsb,m,TYM,CE1,-0.2841000
amber-ffsb,m,TYM,HE1,0.1656000
amber-ffsb,m,TYM,CD2,-0.2160000
amber-ffsb,m,TYM,HD2,0.1699000
amber-ffsb,m,TYM,CE2,-0.2841000
amber-ffsb,m,TYM,HE2,0.1656000
amber-ffsb,m,TYM,CZ,0.3226000
amber-ffsb,m,TYM,OH,-0.9579000
amber-ffsb,m,TYM,C,0.5973000
amber-ffsb,m,TYM,O,-0.5679000

# TYM - n-terminal
amber-ffsb,n,TYM,N,0.1940000
amber-ffsb,n,TYM,H1,0.1873000
amber-ffsb,n,TYM,H2,0.1873000
amber-ffsb,n,TYM,H3,0.1873000
amber-ffsb,n,TYM,CA,0.0570000
amber-ffsb,n,TYM,HA,0.0983000
amber-ffsb,n,TYM,CB,0.0659000
amber-ffsb,n,TYM,HB2,0.0102000
amber-ffsb,n,TYM,HB3,0.0102000
amber-ffsb,n,TYM,CG,-0.0704000
amber-ffsb,n,TYM,CD1,-0.2255000
amber-ffsb,n,TYM,HD1,0.1720000
amber-ffsb,n,TYM,CE1,-0.2738000
amber-ffsb,n,TYM,HE1,0.1650000
amber-ffsb,n,TYM,CD2,-0.2255000
amber-ffsb,n,TYM,HD2,0.1720000
amber-ffsb,n,TYM,CE2,-0.2738000
amber-ffsb,n,TYM,HE2,0.1650000
amber-ffsb,n,TYM,CZ,0.3139000
amber-ffsb,n,TYM,OH,-0.9573000
amber-ffsb,n,TYM,C,0.6123000
amber-ffsb,n,TYM,O,-0.5713000

# TYM - c-terminal
amber-ffsb,c,TYM,N,-0.3821000
amber-ffsb,c,TYM,H,0.2681000
amber-ffsb,c,TYM,CA,-0.2015000
amber-ffsb,c,TYM,HA,0.1092000
amber-ffsb,c,TYM,CB,-0.0752000
amber-ffsb,c,TYM,HB2,0.0490000
amber-ffsb,c,TYM,HB3,0.0490000
amber-ffsb,c,TYM,CG,-0.0255000
amber-ffsb,c,TYM,CD1,-0.2172000
amber-ffsb,c,TYM,HD1,0.1780000
amber-ffsb,c,TYM,CE1,-0.2956000
amber-ffsb,c,TYM,HE1,0.1673000
amber-ffsb,c,TYM,CD2,-0.2172000
amber-ffsb,c,TYM,HD2,0.1780000
amber-ffsb,c,TYM,CE2,-0.2956000
amber-ffsb,c,TYM,HE2,0.1673000
amber-ffsb,c,TYM,CZ,0.3395000
amber-ffsb,c,TYM,OH,-0.9626000
amber-ffsb,c,TYM,C,0.7817000
amber-ffsb,c,TYM,O,-0.8070000
amber-ffsb,c,TYM,OXT,-0.8070000

# TYM - n-terminal deprotonated
amber-ffsb,n-,TYM,N,-0.6187000
amber-ffsb,n-,TYM,H1,0.1873000
amber-ffsb,n-,TYM,H2,0.1873000
amber-ffsb,n-,TYM,CA,0.0570000
amber-ffsb,n-,TYM,HA,0.0983000
amber-ffsb,n-,TYM,CB,0.0659000
amber-ffsb,n-,TYM,HB2,0.0102000
amber-ffsb,n-,TYM,HB3,0.0102000
amber-ffsb,n-,TYM,CG,-0.0511000
amber-ffsb,n-,TYM,CD1,-0.2160000
amber-ffsb,n-,TYM,HD1,0.1699000
amber-ffsb,n-,TYM,CE1,-0.2841000
amber-ffsb,n-,TYM,HE1,0.1656000
amber-ffsb,n-,TYM,CD2,-0.2160000
amber-ffsb,n-,TYM,HD2,0.1699000
amber-ffsb,n-,TYM,CE2,-0.2841000
amber-ffsb,n-,TYM,HE2,0.1656000
amber-ffsb,n-,TYM,CZ,0.3226000
amber-ffsb,n-,TYM,OH,-0.9579000
amber-ffsb,n-,TYM,C,0.6123000
amber-ffsb,n-,TYM,O,-0.5713000

# TYM - c-terminal protonated
amber-ffsb,c+,TYM,N,-0.3821000
amber-ffsb,c+,TYM,H,0.2681000
amber-ffsb,c+,TYM,CA,-0.2015000
amber-ffsb,c+,TYM,HA,0.1092000
amber-ffsb,c+,TYM,CB,-0.0752000
amber-ffsb,c+,TYM,HB2,0.0490000
amber-ffsb,c+,TYM,HB3,0.0490000
amber-ffsb,c+,TYM,CG,-0.0511000
amber-ffsb,c+,TYM,CD1,-0.2160000
amber-ffsb,c+,TYM,HD1,0.1699000
amber-ffsb,c+,TYM,CE1,-0.2841000
amber-ffsb,c+,TYM,HE1,0.1656000
amber-ffsb,c+,TYM,CD2,-0.2160000
amber-ffsb,c+,TYM,HD2,0.1699000
amber-ffsb,c+,TYM,CE2,-0.2841000
amber-ffsb,c+,TYM,HE2,0.1656000
amber-ffsb,c+,TYM,CZ,0.3226000
amber-ffsb,c+,TYM,OH,-0.9579000
amber-ffsb,c+,TYM,C,0.8817000
amber-ffsb,c+,TYM,O,-0.7070000
amber-ffsb,c+,TYM,OXT,-0.4720000
amber-ffsb,c+,TYM,HOXT,0.4650000

# VAL - middle
amber-ffsb,m,VAL,N,-0.4157000
amber-ffsb,m,VAL,H,0.2719000
amber-ffsb,m,VAL,CA,-0.0875000
amber-ffsb,m,VAL,HA,0.0969000
amber-ffsb,m,VAL,CB,0.2985000
amber-ffsb,m,VAL,HB,-0.0297000
amber-ffsb,m,VAL,CG1,-0.3192000
amber-ffsb,m,VAL,HG11,0.0791000
amber-ffsb,m,VAL,HG12,0.0791000
amber-ffsb,m,VAL,HG13,0.0791000
amber-ffsb,m,VAL,CG2,-0.3192000
amber-ffsb,m,VAL,HG21,0.0791000
amber-ffsb,m,VAL,HG22,0.0791000
amber-ffsb,m,VAL,HG23,0.0791000
amber-ffsb,m,VAL,C,0.5973000
amber-ffsb,m,VAL,O,-0.5679000

# VAL - n-terminal
amber-ffsb,n,VAL,N,0.0577000
amber-ffsb,n,VAL,H1,0.2272000
amber-ffsb,n,VAL,H2,0.2272000
amber-ffsb,n,VAL,H3,0.2272000
amber-ffsb,n,VAL,CA,-0.0054000
amber-ffsb,n,VAL,HA,0.1093000
amber-ffsb,n,VAL,CB,0.3196000
amber-ffsb,n,VAL,HB,-0.0221000
amber-ffsb,n,VAL,CG1,-0.3129000
amber-ffsb,n,VAL,HG11,0.0735000
amber-ffsb,n,VAL,HG12,0.0735000
amber-ffsb,n,VAL,HG13,0.0735000
amber-ffsb,n,VAL,CG2,-0.3129000
amber-ffsb,n,VAL,HG21,0.0735000
amber-ffsb,n,VAL,HG22,0.0735000
amber-ffsb,n,VAL,HG23,0.0735000
amber-ffsb,n,VAL,C,0.6163000
amber-ffsb,n,VAL,O,-0.5722000

# VAL - c-terminal
amber-ffsb,c,VAL,N,-0.3821000
amber-ffsb,c,VAL,H,0.2681000
amber-ffsb,c,VAL,CA,-0.3438000
amber-ffsb,c,VAL,HA,0.1438000
amber-ffsb,c,VAL,CB,0.1940000
amber-ffsb,c,VAL,HB,0.0308000
amber-ffsb,c,VAL,CG1,-0.3064000
amber-ffsb,c,VAL,HG11,0.0836000
amber-ffsb,c,VAL,HG12,0.0836000
amber-ffsb,c,VAL,HG13,0.0836000
amber-ffsb,c,VAL,CG2,-0.3064000
amber-ffsb,c,VAL,HG21,0.0836000
amber-ffsb,c,VAL,HG22,0.0836000
amber-ffsb,c,VAL,HG23,0.0836000
amber-ffsb,c,VAL,C,0.8350000
amber-ffsb,c,VAL,O,-0.8173000
amber-ffsb,c,VAL,OXT,-0.8173000

# VAL - n-terminal deprotonated
amber-ffsb,n-,VAL,N,-0.7151000
amber-ffsb,n-,VAL,H1,0.2272000
amber-ffsb,n-,VAL,H2,0.2272000
amber-ffsb,n-,VAL,CA,-0.0054000
amber-ffsb,n-,VAL,HA,0.1093000
amber-ffsb,n-,VAL,CB,0.3196000
amber-ffsb,n-,VAL,HB,-0.0221000
amber-ffsb,n-,VAL,CG1,-0.3129000
amber-ffsb,n-,VAL,HG11,0.0735000
amber-ffsb,n-,VAL,HG12,0.0735000
amber-ffsb,n-,VAL,HG13,0.0735000
amber-ffsb,n-,VAL,CG2,-0.3129000
amber-ffsb,n-,VAL,HG21,0.0735000
amber-ffsb,n-,VAL,HG22,0.0735000
amber-ffsb,n-,VAL,HG23,0.0735000
amber-ffsb,n-,VAL,C,0.6163000
amber-ffsb,n-,VAL,O,-0.5722000

# VAL - c-terminal protonated
amber-ffsb,c+,VAL,N,-0.3821000
amber-ffsb,c+,VAL,H,0.2681000
amber-ffsb,c+,VAL,CA,-0.3438000
amber-ffsb,c+,VAL,HA,0.1438000
amber-ffsb,c+,VAL,CB,0.1940000
amber-ffsb,c+,VAL,HB,0.0308000
amber-ffsb,c+,VAL,CG1,-0.3064000
amber-ffsb,c+,VAL,HG11,0.0836000
amber-ffsb,c+,VAL,HG12,0.0836000
amber-ffsb,c+,VAL,HG13,0.0836000
amber-ffsb,c+,VAL,CG2,-0.3064000
amber-ffsb,c+,VAL,HG21,0.0836000
amber-ffsb,c+,VAL,HG22,0.0836000
amber-ffsb,c+,VAL,HG23,0.0836000
amber-ffsb,c+,VAL,C,0.8350000
amber-ffsb,c+,VAL,O,-0.5498000
amber-ffsb,c+,VAL,OXT,-0.5498000
amber-ffsb,c+,VAL,HOXT,0.4650000

# Protein: amber-ff03

# ALA - middle
amber-ff03,m,ALA,N,-0.4047730
amber-ff03,m,ALA,H,0.2942760
amber-ff03,m,ALA,CA,-0.0277330
amber-ff03,m,ALA,HA,0.1208020
amber-ff03,m,ALA,CB,-0.2299510
amber-ff03,m,ALA,HB1,0.0774280
amber-ff03,m,ALA,HB2,0.0774280
amber-ff03,m,ALA,HB3,0.0774280
amber-ff03,m,ALA,C,0.5702240
amber-ff03,m,ALA,O,-0.5551290

# ALA - n-terminal
amber-ff03,n,ALA,N,-0.5892660
amber-ff03,n,ALA,H1,0.4464220
amber-ff03,n,ALA,H2,0.4464220
amber-ff03,n,ALA,H3,0.4464220
amber-ff03,n,ALA,CA,0.1138710
amber-ff03,n,ALA,HA,0.0671500
amber-ff03,n,ALA,CB,-0.2041130
amber-ff03,n,ALA,HB1,0.0630560
amber-ff03,n,ALA,HB2,0.0630560
amber-ff03,n,ALA,HB3,0.0630560
amber-ff03,n,ALA,C,0.6766870
amber-ff03,n,ALA,O,-0.5927640

# ALA - c-terminal
amber-ff03,c,ALA,N,-0.6222020
amber-ff03,c,ALA,H,0.3597840
amber-ff03,c,ALA,CA,-0.0541020
amber-ff03,c,ALA,HA,0.1232830
amber-ff03,c,ALA,CB,-0.1857180
amber-ff03,c,ALA,HB1,0.0696520
amber-ff03,c,ALA,HB2,0.0696520
amber-ff03,c,ALA,HB3,0.0696520
amber-ff03,c,ALA,C,0.6640140
amber-ff03,c,ALA,O,-0.7470070
amber-ff03,c,ALA,OXT,-0.7470070

# ALA - n-terminal deprotonated
amber-ff03,n-,ALA,N,-1.1428440
amber-ff03,n-,ALA,H1,0.4464220
amber-ff03,n-,ALA,H2,0.4464220
amber-ff03,n-,ALA,CA,0.1138710
amber-ff03,n-,ALA,HA,0.0671500
amber-ff03,n-,ALA,CB,-0.2041130
amber-ff03,n-,ALA,HB1,0.0630560
amber-ff03,n-,ALA,HB2,0.0630560
amber-ff03,n-,ALA,HB3,0.0630560
amber-ff03,n-,ALA,C,0.6766870
amber-ff03,n-,ALA,O,-0.5927640

# ALA - c-terminal protonated
amber-ff03,c+,ALA,N,-0.6222020
amber-ff03,c+,ALA,H,0.3597840
amber-ff03,c+,ALA,CA,-0.0541020
amber-ff03,c+,ALA,HA,0.1232830
amber-ff03,c+,ALA,CB,-0.1857180
amber-ff03,c+,ALA,HB1,0.0696520
amber-ff03,c+,ALA,HB2,0.0696520
amber-ff03,c+,ALA,HB3,0.0696520
amber-ff03,c+,ALA,C,0.6640140
amber-ff03,c+,ALA,O,-0.4708370
amber-ff03,c+,ALA,OXT,-0.4708370
amber-ff03,c+,ALA,HOXT,0.4476610

# ARG - middle
amber-ff03,m,ARG,N,-0.3008790
amber-ff03,m,ARG,H,0.2336930
amber-ff03,m,ARG,CA,-0.1313810
amber-ff03,m,ARG,HA,0.0532660
amber-ff03,m,ARG,CB,0.0367070
amber-ff03,m,ARG,HB2,0.0280120
amber-ff03,m,ARG,HB3,0.0280120
amber-ff03,m,ARG,CG,0.0124540
amber-ff03,m,ARG,HG2,0.0029640
amber-ff03,m,ARG,HG3,0.0029640
amber-ff03,m,ARG,CD,0.1263290
amber-ff03,m,ARG,HD2,0.0681480
amber-ff03,m,ARG,HD3,0.0681480
amber-ff03,m,ARG,NE,-0.4648900
amber-ff03,m,ARG,HE,0.3262740
amber-ff03,m,ARG,CZ,0.5655430
amber-ff03,m,ARG,NH1,-0.6857740
amber-ff03,m,ARG,HH11,0.3910520
amber-ff03,m,ARG,HH12,0.3910520
amber-ff03,m,ARG,NH2,-0.6857740
amber-ff03,m,ARG,HH21,0.3910520
amber-ff03,m,ARG,HH22,0.3910520
amber-ff03,m,ARG,C,0.7303080
amber-ff03,m,ARG,O,-0.5783320

# ARG - n-terminal
amber-ff03,n,ARG,N,-0.6705150
amber-ff03,n,ARG,H1,0.4735050
amber-ff03,n,ARG,H2,0.4735050
amber-ff03,n,ARG,H3,0.4735050
amber-ff03,n,ARG,CA,0.0939030
amber-ff03,n,ARG,HA,0.0249980
amber-ff03,n,ARG,CB,0.0291710
amber-ff03,n,ARG,HB2,0.0287280
amber-ff03,n,ARG,HB3,0.0287280
amber-ff03,n,ARG,CG,-0.0162080
amber-ff03,n,ARG,HG2,0.0020440
amber-ff03,n,ARG,HG3,0.0020440
amber-ff03,n,ARG,CD,0.1765680
amber-ff03,n,ARG,HD2,0.0484770
amber-ff03,n,ARG,HD3,0.0484770
amber-ff03,n,ARG,NE,-0.4505680
amber-ff03,n,ARG,HE,0.3384670
amber-ff03,n,ARG,CZ,0.5613600
amber-ff03,n,ARG,NH1,-0.7064730
amber-ff03,n,ARG,HH11,0.4059270
amber-ff03,n,ARG,HH12,0.4059270
amber-ff03,n,ARG,NH2,-0.7064730
amber-ff03,n,ARG,HH21,0.4059270
amber-ff03,n,ARG,HH22,0.4059270
amber-ff03,n,ARG,C,0.7702840
amber-ff03,n,ARG,O,-0.6472340

# ARG - c-terminal
amber-ff03,c,ARG,N,-0.4953400
amber-ff03,c,ARG,H,0.3138640
amber-ff03,c,ARG,CA,-0.1222650
amber-ff03,c,ARG,HA,0.0930730
amber-ff03,c,ARG,CB,0.0158200
amber-ff03,c,ARG,HB2,0.0403760
amber-ff03,c,ARG,HB3,0.0403760
amber-ff03,c,ARG,CG,0.0136970
amber-ff03,c,ARG,HG2,-0.0013660
amber-ff03,c,ARG,HG3,-0.0013660
amber-ff03,c,ARG,CD,0.1833240
amber-ff03,c,ARG,HD2,0.0486910
amber-ff03,c,ARG,HD3,0.0486910
amber-ff03,c,ARG,NE,-0.4686820
amber-ff03,c,ARG,HE,0.3430940
amber-ff03,c,ARG,CZ,0.5777840
amber-ff03,c,ARG,NH1,-0.7123180
amber-ff03,c,ARG,HH11,0.4062160
amber-ff03,c,ARG,HH12,0.4062160
amber-ff03,c,ARG,NH2,-0.7123180
amber-ff03,c,ARG,HH21,0.4062160
amber-ff03,c,ARG,HH22,0.4062160
amber-ff03,c,ARG,C,0.6487630
amber-ff03,c,ARG,O,-0.7393820
amber-ff03,c,ARG,OXT,-0.7393820

# ARG - n-terminal deprotonated
amber-ff03,n-,ARG,N,-1.1970100
amber-ff03,n-,ARG,H1,0.4735050
amber-ff03,n-,ARG,H2,0.4735050
amber-ff03,n-,ARG,CA,0.0939030
amber-ff03,n-,ARG,HA,0.0249980
amber-ff03,n-,ARG,CB,0.0291710
amber-ff03,n-,ARG,HB2,0.0287280
amber-ff03,n-,ARG,HB3,0.0287280
amber-ff03,n-,ARG,CG,-0.0162080
amber-ff03,n-,ARG,HG2,0.0020440
amber-ff03,n-,ARG,HG3,0.0020440
amber-ff03,n-,ARG,CD,0.1765680
amber-ff03,n-,ARG,HD2,0.0484770
amber-ff03,n-,ARG,HD3,0.0484770
amber-ff03,n-,ARG,NE,-0.4505680
amber-ff03,n-,ARG,HE,0.3384670
amber-ff03,n-,ARG,CZ,0.5613600
amber-ff03,n-,ARG,NH1,-0.7064730
amber-ff03,n-,ARG,HH11,0.4059270
amber-ff03,n-,ARG,HH12,0.4059270
amber-ff03,n-,ARG,NH2,-0.7064730
amber-ff03,n-,ARG,HH21,0.4059270
amber-ff03,n-,ARG,HH22,0.4059270
amber-ff03,n-,ARG,C,0.7702840
amber-ff03,n-,ARG,O,-0.6472340

# ARG - c-terminal protonated
amber-ff03,c+,ARG,N,-0.4953400
amber-ff03,c+,ARG,H,0.3138640
amber-ff03,c+,ARG,CA,-0.1222650
amber-ff03,c+,ARG,HA,0.0930730
amber-ff03,c+,ARG,CB,0.0158200
amber-ff03,c+,ARG,HB2,0.0403760
amber-ff03,c+,ARG,HB3,0.0403760
amber-ff03,c+,ARG,CG,0.0136970
amber-ff03,c+,ARG,HG2,-0.0013660
amber-ff03,c+,ARG,HG3,-0.0013660
amber-ff03,c+,ARG,CD,0.1833240
amber-ff03,c+,ARG,HD2,0.0486910
amber-ff03,c+,ARG,HD3,0.0486910
amber-ff03,c+,ARG,NE,-0.4686820
amber-ff03,c+,ARG,HE,0.3430940
amber-ff03,c+,ARG,CZ,0.5777840
amber-ff03,c+,ARG,NH1,-0.7123180
amber-ff03,c+,ARG,HH11,0.4062160
amber-ff03,c+,ARG,HH12,0.4062160
amber-ff03,c+,ARG,NH2,-0.7123180
amber-ff03,c+,ARG,HH21,0.4062160
amber-ff03,c+,ARG,HH22,0.4062160
amber-ff03,c+,ARG,C,0.6487630
amber-ff03,c+,ARG,O,-0.4632120
amber-ff03,c+,ARG,OXT,-0.4632120
amber-ff03,c+,ARG,HOXT,0.4476610

# ARN - middle
amber-ff03,m,ARN,N,-0.3008790
amber-ff03,m,ARN,H,0.2336930
amber-ff03,m,ARN,CA,-0.1313810
amber-ff03,m,ARN,HA,0.0532660
amber-ff03,m,ARN,CB,0.0367070
amber-ff03,m,ARN,HB2,0.0280120
amber-ff03,m,ARN,HB3,0.0280120
amber-ff03,m,ARN,CG,0.0124540
amber-ff03,m,ARN,HG2,0.0029640
amber-ff03,m,ARN,HG3,0.0029640
amber-ff03,m,ARN,CD,0.1263290
amber-ff03,m,ARN,HD2,0.0681480
amber-ff03,m,ARN,HD3,0.0681480
amber-ff03,m,ARN,NE,-0.5401740
amber-ff03,m,ARN,HE,0.2509900
amber-ff03,m,ARN,CZ,0.4902590
amber-ff03,m,ARN,NH1,-0.7610580
amber-ff03,m,ARN,HH11,0.3157680
amber-ff03,m,ARN,HH12,0.3157680
amber-ff03,m,ARN,NH2,-0.7610580
amber-ff03,m,ARN,HH21,0.3157680
amber-ff03,m,ARN,C,0.7303080
amber-ff03,m,ARN,O,-0.5783320

# ARN - n-terminal
amber-ff03,n,ARN,N,-0.6705150
amber-ff03,n,ARN,H1,0.4735050
amber-ff03,n,ARN,H2,0.4735050
amber-ff03,n,ARN,H3,0.4735050
amber-ff03,n,ARN,CA,0.0939030
amber-ff03,n,ARN,HA,0.0249980
amber-ff03,n,ARN,CB,0.0291710
amber-ff03,n,ARN,HB2,0.0287280
amber-ff03,n,ARN,HB3,0.0287280
amber-ff03,n,ARN,CG,-0.0162080
amber-ff03,n,ARN,HG2,0.0020440
amber-ff03,n,ARN,HG3,0.0020440
amber-ff03,n,ARN,CD,0.1765680
amber-ff03,n,ARN,HD2,0.0484770
amber-ff03,n,ARN,HD3,0.0484770
amber-ff03,n,ARN,NE,-0.5401740
amber-ff03,n,ARN,HE,0.2509900
amber-ff03,n,ARN,CZ,0.4902590
amber-ff03,n,ARN,NH1,-0.7610580
amber-ff03,n,ARN,HH11,0.3157680
amber-ff03,n,ARN,HH12,0.3157680
amber-ff03,n,ARN,NH2,-0.7610580
amber-ff03,n,ARN,HH21,0.3157680
amber-ff03,n,ARN,C,0.7702840
amber-ff03,n,ARN,O,-0.6472340

# ARN - c-terminal
amber-ff03,c,ARN,N,-0.4953400
amber-ff03,c,ARN,H,0.3138640
amber-ff03,c,ARN,CA,-0.1222650
amber-ff03,c,ARN,HA,0.0930730
amber-ff03,c,ARN,CB,0.0158200
amber-ff03,c,ARN,HB2,0.0403760
amber-ff03,c,ARN,HB3,0.0403760
amber-ff03,c,ARN,CG,0.0136970
amber-ff03,c,ARN,HG2,-0.0013660
amber-ff03,c,ARN,HG3,-0.0013660
amber-ff03,c,ARN,CD,0.1833240
amber-ff03,c,ARN,HD2,0.0486910
amber-ff03,c,ARN,HD3,0.0486910
amber-ff03,c,ARN,NE,-0.5401740
amber-ff03,c,ARN,HE,0.2509900
amber-ff03,c,ARN,CZ,0.4902590
amber-ff03,c,ARN,NH1,-0.7610580
amber-ff03,c,ARN,HH11,0.3157680
amber-ff03,c,ARN,HH12,0.3157680
amber-ff03,c,ARN,NH2,-0.7610580
amber-ff03,c,ARN,HH21,0.3157680
amber-ff03,c,ARN,C,0.6487630
amber-ff03,c,ARN,O,-0.7393820
amber-ff03,c,ARN,OXT,-0.7393820

# ARN - n-terminal deprotonated
amber-ff03,n-,ARN,N,-1.1970100
amber-ff03,n-,ARN,H1,0.4735050
amber-ff03,n-,ARN,H2,0.4735050
amber-ff03,n-,ARN,CA,0.0939030
amber-ff03,n-,ARN,HA,0.0249980
amber-ff03,n-,ARN,CB,0.0291710
amber-ff03,n-,ARN,HB2,0.0287280
amber-ff03,n-,ARN,HB3,0.0287280
amber-ff03,n-,ARN,CG,-0.0162080
amber-ff03,n-,ARN,HG2,0.0020440
amber-ff03,n-,ARN,HG3,0.0020440
amber-ff03,n-,ARN,CD,0.1765680
amber-ff03,n-,ARN,HD2,0.0484770
amber-ff03,n-,ARN,HD3,0.0484770
amber-ff03,n-,ARN,NE,-0.5401740
amber-ff03,n-,ARN,HE,0.2509900
amber-ff03,n-,ARN,CZ,0.4902590
amber-ff03,n-,ARN,NH1,-0.7610580
amber-ff03,n-,ARN,HH11,0.3157680
amber-ff03,n-,ARN,HH12,0.3157680
amber-ff03,n-,ARN,NH2,-0.7610580
amber-ff03,n-,ARN,HH21,0.3157680
amber-ff03,n-,ARN,C,0.7702840
amber-ff03,n-,ARN,O,-0.6472340

# ARN - c-terminal protonated
amber-ff03,c+,ARN,N,-0.4953400
amber-ff03,c+,ARN,H,0.3138640
amber-ff03,c+,ARN,CA,-0.1222650
amber-ff03,c+,ARN,HA,0.0930730
amber-ff03,c+,ARN,CB,0.0158200
amber-ff03,c+,ARN,HB2,0.0403760
amber-ff03,c+,ARN,HB3,0.0403760
amber-ff03,c+,ARN,CG,0.0136970
amber-ff03,c+,ARN,HG2,-0.0013660
amber-ff03,c+,ARN,HG3,-0.0013660
amber-ff03,c+,ARN,CD,0.1833240
amber-ff03,c+,ARN,HD2,0.0486910
amber-ff03,c+,ARN,HD3,0.0486910
amber-ff03,c+,ARN,NE,-0.5401740
amber-ff03,c+,ARN,HE,0.2509900
amber-ff03,c+,ARN,CZ,0.4902590
amber-ff03,c+,ARN,NH1,-0.7610580
amber-ff03,c+,ARN,HH11,0.3157680
amber-ff03,c+,ARN,HH12,0.3157680
amber-ff03,c+,ARN,NH2,-0.7610580
amber-ff03,c+,ARN,HH21,0.3157680
amber-ff03,c+,ARN,C,0.6487630
amber-ff03,c+,ARN,O,-0.4632120
amber-ff03,c+,ARN,OXT,-0.4632120
amber-ff03,c+,ARN,HOXT,0.4476610

# ASN - middle
amber-ff03,m,ASN,N,-0.4301060
amber-ff03,m,ASN,H,0.2545430
amber-ff03,m,ASN,CA,0.0446090
amber-ff03,m,ASN,HA,0.0596010
amber-ff03,m,ASN,CB,-0.0936500
amber-ff03,m,ASN,HB2,0.0433210
amber-ff03,m,ASN,HB3,0.0433210
amber-ff03,m,ASN,CG,0.5835190
amber-ff03,m,ASN,OD1,-0.5268130
amber-ff03,m,ASN,ND2,-0.7817350
amber-ff03,m,ASN,HD21,0.3550790
amber-ff03,m,ASN,HD22,0.3550790
amber-ff03,m,ASN,C,0.6171410
amber-ff03,m,ASN,O,-0.5239090

# ASN - n-terminal
amber-ff03,n,ASN,N,-0.6691060
amber-ff03,n,ASN,H1,0.4730350
amber-ff03,n,ASN,H2,0.4730350
amber-ff03,n,ASN,H3,0.4730350
amber-ff03,n,ASN,CA,0.2566840
amber-ff03,n,ASN,HA,0.0133060
amber-ff03,n,ASN,CB,-0.0621060
amber-ff03,n,ASN,HB2,0.0382890
amber-ff03,n,ASN,HB3,0.0382890
amber-ff03,n,ASN,CG,0.5549320
amber-ff03,n,ASN,OD1,-0.5687970
amber-ff03,n,ASN,ND2,-0.7845470
amber-ff03,n,ASN,HD21,0.3723440
amber-ff03,n,ASN,HD22,0.3723440
amber-ff03,n,ASN,C,0.6025540
amber-ff03,n,ASN,O,-0.5832930

# ASN - c-terminal
amber-ff03,c,ASN,N,-0.6265300
amber-ff03,c,ASN,H,0.3432420
amber-ff03,c,ASN,CA,0.0144050
amber-ff03,c,ASN,HA,0.0857960
amber-ff03,c,ASN,CB,-0.0294680
amber-ff03,c,ASN,HB2,0.0457380
amber-ff03,c,ASN,HB3,0.0457380
amber-ff03,c,ASN,CG,0.5515120
amber-ff03,c,ASN,OD1,-0.5674400
amber-ff03,c,ASN,ND2,-0.7662410
amber-ff03,c,ASN,HD21,0.3666240
amber-ff03,c,ASN,HD22,0.3666240
amber-ff03,c,ASN,C,0.6073810
amber-ff03,c,ASN,O,-0.7186910
amber-ff03,c,ASN,OXT,-0.7186910

# ASN - n-terminal deprotonated
amber-ff03,n-,ASN,N,-1.1960710
amber-ff03,n-,ASN,H1,0.4730350
amber-ff03,n-,ASN,H2,0.4730350
amber-ff03,n-,ASN,CA,0.2566840
amber-ff03,n-,ASN,HA,0.0133060
amber-ff03,n-,ASN,CB,-0.0621060
amber-ff03,n-,ASN,HB2,0.0382890
amber-ff03,n-,ASN,HB3,0.0382890
amber-ff03,n-,ASN,CG,0.5549320
amber-ff03,n-,ASN,OD1,-0.5687970
amber-ff03,n-,ASN,ND2,-0.7845470
amber-ff03,n-,ASN,HD21,0.3723440
amber-ff03,n-,ASN,HD22,0.3723440
amber-ff03,n-,ASN,C,0.6025540
